Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Comments,Taxonomic Order
3800,FEPO,Ferruginous Pygmy-Owl,"3B, 3A, 3",Chevêchette brune,Glaucidium brasilianum,Y,,519
3810,ELOW,Elf Owl,"2, 2A",Chevêchette des saguaros,Micrathene whitneyi,,,520
3811,NAPA,Nanday Parakeet,"4, 3A",Conure Nanday,Aratinga nenday,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",636
3812,HPKT,Hispaniolan Parakeet,"3A, 3B",Conure maîtresse,Psittacara chloropterus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",640
3813,OFPA,Orange-fronted Parakeet,"3A, 3B",Conure à front rouge,Eupsittula canicularis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",638
3814,BTPA,Brown-throated Parakeet,"3, 2",Conure cuivrée,Eupsittula pertinax,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",639
3815,BCLO,Blue-crowned Lorikeet,"2, 3",Lori fringillaire,Vini australis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",634
3816,GREP,Green Parakeet,"3B, 3, 3A",Conure verte,Psittacara holochlorus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",637
3817,MIPA,Mitred Parakeet,"3A, 3B",Conure mitrée,Psittacara mitratus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",641
3818,WWPA,White-winged Parakeet,"2, 3",Toui à ailes variées,Brotogeris versicolurus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",644
3819,YCPA,Yellow-chevroned Parakeet,"2, 3",Toui à ailes jaunes,Brotogeris chiriri,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",645
3821,TBPA,Thick-billed Parrot,"4A, 4",Conure à gros bec,Rhynchopsitta pachyrhyncha,Y,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",642
3822,RRPA,Rose-ringed Parakeet,"3, 2, 3A",Perruche à collier,Psittacula krameri,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",650
3823,RFLO,Rosy-faced Lovebird,"1B, 1A",Inséparable rosegorge,Agapornis roseicollis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",651
3824,MOPA,Monk Parakeet,4,Conure veuve,Myiopsitta monachus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",635
3825,RMPA,Red-masked Parakeet,4A,Conure à tête rouge,Psittacara erythrogenys,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",643
3826,RCPA,Red-crowned Parrot,"4A, 4",Amazone à joues vertes,Amazona viridigenalis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",648
3827,HPRT,Hispaniolan Parrot,6,Amazone d'Hispaniola,Amazona ventralis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",646
3828,PRPA,Puerto Rican Parrot,"4A, 4",Amazone de Porto Rico,Amazona vittata,Y,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",647
3829,OWAM,Orange-winged Amazon,"4A, 4",Amazona amazonica,Amazona amazonica,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",649
3830,SBAN,Smooth-billed Ani,"3A, 4",Ani à bec lisse,Crotophaga ani,,,506
3840,GBAN,Groove-billed Ani,"3A, 3B, 3",Ani à bec cannelé,Crotophaga sulcirostris,,,507
3850,GRRO,Greater Roadrunner,5,Grand Géocoucou,Geococcyx californianus,,,505
3851,PRLC,Puerto Rican Lizard-Cuckoo,"3B, 3, 3A",Tacco de Porto Rico,Coccyzus vieilloti,,,503
3860,MACU,Mangrove Cuckoo,"2, 3, 3B",Coulicou manioc,Coccyzus minor,,,501
3870,YBCU,Yellow-billed Cuckoo,"2, 3",Coulicou à bec jaune,Coccyzus americanus,,,499
3871,WYBC,Western Yellow-billed Cuckoo,"2, 3",,Coccyzus americanus,Y,"Endangered western US populations (AZ, CA, CO, ID, MT, NV, NM, OR, TX, UT, WA, WY). | Les populations de l'ouest des États-Unis sont menacées (AZ, CA, CO, ID, MT, NV, NM, OR, TX, UT, WA, WY).",500
3880,BBCU,Black-billed Cuckoo,"2, 3",Coulicou à bec noir,Coccyzus erythropthalmus,,,502
3890,ELTR,Elegant Trogon,"3, 2, 1D",Trogon élégant,Trogon elegans,,,583
3891,EAQU,Eared Quetzal,2,Quetzal oreillard,Euptilotis neoxenus,,,584
3900,BEKI,Belted Kingfisher,"3A, 3B, 3",Martin-pêcheur d'Amérique,Megaceryle alcyon,,,591
3901,RIKI,Ringed Kingfisher,4,Martin-pêcheur à ventre roux,Megaceryle torquata,,,590
3910,GKIN,Green Kingfisher,"1D, 1A, 2",Martin-pêcheur vert,Chloroceryle americana,,Size 2 needs to be filed to a shorter height; 1D may be best fit. | La taille 2 doit être limer à une hauteur plus courte; la taille 1D peut être la plus appropriée.,592
3912,PRTO,Puerto Rican Tody,"X, 0A, 0",Todier de Porto Rico,Todus mexicanus,,,586
3920,IBWO,Ivory-billed Woodpecker,4,Pic à bec ivoire,Campephilus principalis,Y,,622
3930,HAWO,Hairy Woodpecker,"1D, 2, 1A",Pic chevelu,Dryobates villosus,,,610
3940,DOWO,Downy Woodpecker,1B,Pic mineur,Dryobates pubescens,,,609
3950,RCWO,Red-cockaded Woodpecker,1A,Pic à face blanche,Dryobates borealis,Y,,612
3960,LBWO,Ladder-backed Woodpecker,"1A, 1B",Pic arlequin,Dryobates scalaris,,,607
3970,NUWO,Nuttall's Woodpecker,"1A, 1B",Pic de Nuttall,Dryobates nuttallii,,,608
3980,ARWO,Arizona Woodpecker,1A,Pic de Strickland,Dryobates arizonae,,,611
3990,WHWO,White-headed Woodpecker,"1D, 2, 1A",Pic à tête blanche,Picoides albolarvatus,British Columbia,,613
4000,BBWO,Black-backed Woodpecker,2,Pic à dos noir,Picoides arcticus,,,615
4010,ATTW,American Three-toed Woodpecker,2,Pic à dos rayé,Picoides dorsalis,,,614
4020,YBSA,Yellow-bellied Sapsucker,"1B, 1A",Pic maculé,Sphyrapicus varius,,,602
4021,RNSA,Red-naped Sapsucker,"1A, 1B",Pic à nuque rouge,Sphyrapicus nuchalis,,,603
4023,HYSA,Hybrid Sapsucker,"1A, 1B",Pic buveur de sève hybride,,,"Report suspected parentage as a remark (e.g. Species1 x Species2). | Signalez les liens de parenté suspects dans le champs remarque (p. ex., Espèce1 x Espèce2).",605
4024,UNSA,Unidentified Sapsucker,"1A, 1B, 1D",Pic Sphyrapicus non identifié,,,,606
4030,RBSA,Red-breasted Sapsucker,"1A, 1B, 1D",Pic à poitrine rouge,Sphyrapicus ruber,,,604
4040,WISA,Williamson's Sapsucker,1A,Pic de Williamson,Sphyrapicus thyroideus,British Columbia,,601
4050,PIWO,Pileated Woodpecker,"4, 3A",Grand Pic,Dryocopus pileatus,,,621
4060,RHWO,Red-headed Woodpecker,"2, 1D, 2A",Pic à tête rouge,Melanerpes erythrocephalus,Manitoba,,595
,,,,,,Ontario,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
4070,ACWO,Acorn Woodpecker,"2, 1D, 2A",Pic glandivore,Melanerpes formicivorus,,,596
4071,PRWO,Puerto Rican Woodpecker,"2, 1D, 2A",Pic de Porto Rico,Melanerpes portoricensis,,,594
4080,LEWO,Lewis's Woodpecker,"3, 2",Pic de Lewis,Melanerpes lewis,British Columbia,,593
4090,RBWO,Red-bellied Woodpecker,2,Pic à ventre roux,Melanerpes carolinus,,,599
4092,WIWO,West Indian Woodpecker,"3, 2A, 2",Pic à sourcils noirs,Melanerpes superciliaris,,,600
4100,GFWO,Golden-fronted Woodpecker,2,Pic à front doré,Melanerpes aurifrons,,,598
4110,GIWO,Gila Woodpecker,"2, 3, 2A",Pic des saguaros,Melanerpes uropygialis,,,597
4120,YSFL,Yellow-shafted Flicker,"3, 3B",Pic doré,Colaptes auratus auratus,,,616
4123,FLIN,Flicker Intergrade,"3, 3B",Pic intermédiaire,Colaptes auratus,,To be used for Northern Flickers that appear to be intergrades between two subspecies. | À utiliser pour les pics flamboyants qui semblent être entre les deux sous-espèces.,617
4124,UNFL,Unspecified Northern Flicker,"3, 3B",Pic Colaptes non spécifié,Colaptes auratus,,,619
4130,RSFL,Red-shafted Flicker,"3, 3B",Pic rosé,Colaptes auratus cafer,,,618
4140,GIFL,Gilded Flicker,3,Pic chrysoïde,Colaptes chrysoides,,,620
4160,CWWI,Chuck-will's-widow,3,Engoulevent de Caroline,Antrostomus carolinensis,,,538
4161,BCNI,Buff-collared Nightjar,2,Engoulevent de Ridgway,Antrostomus ridgwayi,,,539
4170,EWPW,Eastern Whip-poor-will,"1D, 2, 1A",Engoulevent bois-pourri,Antrostomus vociferus,Manitoba,,540
,,,,,,New Brunswick,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
4171,PRNI,Puerto Rican Nightjar,"1D, 1A, 2",Engoulevent de Porto Rico,Antrostomus noctitherus,Y,,542
4172,MWPW,Mexican Whip-poor-will,"1D, 1A, 2",Engoulevent d'Arizona,Antrostomus arizonae,,,541
4180,COPO,Common Poorwill,"1A, 1D, 2",Engoulevent de Nuttall,Phalaenoptilus nuttallii,,,537
4190,COPA,Common Pauraque,"2, 1D",Engoulevent pauraqué,Nyctidromus albicollis,,,536
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Alberta,,534
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,New Brunswick,,
,,,,,,Newfoundland and Labrador,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Prince Edward Island,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
,,,,,,Nunavut,,
4201,ANNI,Antillean Nighthawk,"2, 1A, 1D",Engoulevent piramidig,Chordeiles gundlachii,,,535
4210,LENI,Lesser Nighthawk,"1D, 1A, 2",Engoulevent minime,Chordeiles acutipennis,,,533
4220,BLSW,Black Swift,"1A, 1B",Martinet sombre,Cypseloides niger,Alberta,,543
,,,,,,British Columbia,,
4230,CHSW,Chimney Swift,"1B, 1",Martinet ramoneur,Chaetura pelagica,Manitoba,,544
,,,,,,New Brunswick,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
4231,STSW,Short-tailed Swift,"1B, 1, 1C",Martinet polioure,Chaetura brachyura,,,546
4240,VASW,Vaux's Swift,1,Martinet de Vaux,Chaetura vauxi,,,545
4250,WTSW,White-throated Swift,2,Martinet à gorge blanche,Aeronautes saxatalis,,,550
4260,RIHU,Rivoli's Hummingbird,X,Colibri de Rivoli,Eugenes fulgens,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",557
4261,PCST,Plain-capped Starthroat,X,Colibri de Constant,Heliomaster constantii,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",558
4270,BTMG,Blue-throated Mountain-gem,X,Colibri à gorge bleue,Lampornis clemenciae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",559
4271,MEVI,Mexican Violetear,X,Colibri thalassin,Colibri thalassinus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",551
4280,RTHU,Ruby-throated Hummingbird,X,Colibri à gorge rubis,Archilochus colubris,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",562
4290,BCHU,Black-chinned Hummingbird,X,Colibri à gorge noire,Archilochus alexandri,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",563
4300,COHU,Costa's Hummingbird,X,Colibri de Costa,Calypte costae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",565
4310,ANHU,Anna's Hummingbird,X,Colibri d'Anna,Calypte anna,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",564
4320,BTHU,Broad-tailed Hummingbird,X,Colibri à queue large,Selasphorus platycercus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",567
4330,RUHU,Rufous Hummingbird,X,Colibri roux,Selasphorus rufus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",568
4331,UNSE,Unidentified Selasphorus Hummingbird,X,Colibri Selasphorus non identifié,,,,570
4340,ALHU,Allen's Hummingbird,X,Colibri d'Allen,Selasphorus sasin,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",569
4350,BUHU,Bumblebee Hummingbird,X,Colibri héloïse,Selasphorus heloisa,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",566
4360,CAHU,Calliope Hummingbird,X,Colibri calliope,Selasphorus calliope,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",573
4361,JAMA,Jamaican Mango,X,Mango de la Jamaïque,Anthracothorax mango,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",555
4362,GRMA,Green Mango,X,Mango vert,Anthracothorax viridis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",554
4363,GTCA,Green-throated Carib,X,Colibri falle-vert,Eulampis holosericeus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",556
4364,ACHU,Antillean Crested Hummingbird,X,Colibri huppé,Orthorhyncus cristatus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",576
4366,GREM,Green-breasted Mango,X,Mango de Prévost,Anthracothorax prevostii,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",552
4370,LUHU,Lucifer Hummingbird,X,Colibri lucifer,Calothorax lucifer,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",561
4371,BAWO,Bahama Woodstar,X,Colibri des Bahamas,Nesophlox evelynae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",560
4380,RUFH,Rufous-tailed Hummingbird,X,Ariane à ventre gris,Amazilia tzacatl,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",578
4381,BEHU,Berylline Hummingbird,X,Ariane béryl,Saucerottia beryllina,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",577
4390,BUFH,Buff-bellied Hummingbird,X,Ariane du Yucatan,Amazilia yucatanensis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",579
4391,VCHU,Violet-crowned Hummingbird,X,Ariane à couronne violette,Ramosomyia violiceps,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",580
4401,WEHU,White-eared Hummingbird,X,Saphir à oreilles blanches,Basilinna leucotis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",582
4402,PREM,Puerto Rican Emerald,X,Émeraude de Porto Rico,Chlorostilbon maugaeus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",574
4408,HYHU,Hybrid Hummingbird,X,Hybride de colibri,,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. Explain in remarks what the parent species were. | La taille appropriée de la bague est déterminée en fonction de l'espèce, du sexe et de considérations géographiques. Expliquer dans les remarques quelles étaient les espèces parentes.",571
4409,UNHU,Unidentified Hummingbird,X,Colibri non identifié,,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",572
4410,BBLH,Broad-billed Hummingbird,X,Colibri circé,Cynanthus latirostris,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",575
4411,RTBE,Rose-throated Becard,"1B, 1A, 1",Bécarde à gorge rose,Pachyramphus aglaiae,,,708
4420,FTFL,Fork-tailed Flycatcher,"1A, 1B, 1",Tyran des savanes,Tyrannus savana,,,707
4430,STFL,Scissor-tailed Flycatcher,1A,Tyran à longue queue,Tyrannus forficatus,,,706
4440,EAKI,Eastern Kingbird,1B,Tyran tritri,Tyrannus tyrannus,,,703
4450,GRAK,Gray Kingbird,"1A, 1D, 1B",Tyran gris,Tyrannus dominicensis,,,704
4451,TBKI,Thick-billed Kingbird,1A,Tyran à bec épais,Tyrannus crassirostris,,,701
4452,LOKI,Loggerhead Kingbird,"1A, 1B",Tyran tête-police,Tyrannus caudifasciatus,,,705
4460,TRKI,Tropical Kingbird,"1A, 1B, 1D",Tyran mélancolique,Tyrannus melancholicus,,,698
4461,COKI,Couch's Kingbird,"1A, 1B",Tyran de Couch,Tyrannus couchii,,,699
4470,WEKI,Western Kingbird,"1A, 1B",Tyran de l'Ouest,Tyrannus verticalis,,,702
4480,CAKI,Cassin's Kingbird,1A,Tyran de Cassin,Tyrannus vociferans,,,700
4490,GKIS,Great Kiskadee,"2, 1D",Tyran quiquivi,Pitangus sulphuratus,,,696
4510,SBFL,Sulphur-bellied Flycatcher,"1B, 1A",Tyran tigré,Myiodynastes luteiventris,,,697
4520,GCFL,Great Crested Flycatcher,"1A, 1B",Tyran huppé,Myiarchus crinitus,,,690
4530,BCFL,Brown-crested Flycatcher,1A,Tyran de Wied,Myiarchus tyrannulus,,,691
4531,NUFL,Nutting's Flycatcher,1B,Tyran de Nutting,Myiarchus nuttingi,,,689
4540,ATFL,Ash-throated Flycatcher,"1B, 1A, 1",Tyran à gorge cendrée,Myiarchus cinerascens,,,688
4550,DCFL,Dusky-capped Flycatcher,"1B, 1, 1C",Tyran olivâtre,Myiarchus tuberculifer,,,687
4551,LSFL,La Sagra's Flycatcher,"1, 1B, 1C",Tyran de La Sagra,Myiarchus sagrae,,,692
4552,PRFL,Puerto Rican Flycatcher,"1B, 1A, 1",Tyran de Porto Rico,Myiarchus antillarum,,,694
4553,STOF,Stolid Flycatcher,1B,Tyran grosse-tête,Myiarchus stolidus,,,693
4554,LESF,Lesser Antillean Flycatcher,1B,Tyran janeau,Myiarchus oberi,,,695
4560,EAPH,Eastern Phoebe,"0, 1C, 1",Moucherolle phébi,Sayornis phoebe,,,683
4570,SAPH,Say's Phoebe,"1, 1C",Moucherolle à ventre roux,Sayornis saya,,,684
4580,BLPH,Black Phoebe,"1, 1C",Moucherolle noir,Sayornis nigricans,,,682
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Alberta,,659
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,New Brunswick,,
,,,,,,Newfoundland and Labrador,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Prince Edward Island,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
4600,GRPE,Greater Pewee,"1B, 1",Moucherolle de Coues,Contopus pertinax,,,660
4610,EAWP,Eastern Wood-Pewee,"0A, 0, 1C, 1",Pioui de l'Est,Contopus virens,,,662
4620,WEWP,Western Wood-Pewee,"0A, 0, 1C, 1",Pioui de l'Ouest,Contopus sordidulus,,,661
4621,CUPE,Cuban Pewee,"0, 0A, 1",Moucherolle tête-fou,Contopus caribaeus,,,663
4622,LAPE,Lesser Antillean Pewee,"0, 0A, 1C",Moucherolle gobemouche,Contopus latirostris,,,666
4623,JAPE,Jamaican Pewee,"0, 1C, 1",Moucherolle de la Jamaïque,Contopus pallidus,,,664
4624,HIPE,Hispaniolan Pewee,"0, 1C, 1",Moucherolle d'Hispaniola,Contopus hispaniolensis,,,665
4630,YBFL,Yellow-bellied Flycatcher,"0A, 0",Moucherolle à ventre jaune,Empidonax flaviventris,,,667
4640,COFL,Cordilleran Flycatcher,"0A, 0",Moucherolle des ravins,,,"AOU split from 4649-WEFL in 1989. | AOU l’a séparé de 4649-WEFL en 1989. No longer species from From Western Flycatcher lump, AOS 64rd Supplement",679
4641,PSFL,Pacific-slope Flycatcher,"0A, 0",Moucherolle côtier,,,"AOU split from 4649-WEFL in 1989. | AOU l’a séparé de 4649-WEFL en 1989. No longer species from From Western Flycatcher lump, AOS 64rd Supplement",677
4649,WEFL,Western Flycatcher,"0A, 0",Moucherolle de l'Ouest,Empidonax difficilis,,"Elevated to species, AOS 64rd Supplement (2023)",678
4650,ACFL,Acadian Flycatcher,"0A, 0",Moucherolle vert,Empidonax virescens,Ontario,,668
4660,WIFL,Willow Flycatcher,"0A, 0",Moucherolle des saules,Empidonax traillii,,AOU split from 4669-TRFL in 1973. | AOU l’a séparé de 4669-TRFL en 1973.,671
4661,ALFL,Alder Flycatcher,"0A, 0",Moucherolle des aulnes,Empidonax alnorum,,AOU split from 4669-TRFL in 1973. | AOU l’a séparé de 4669-TRFL en 1973.,669
4664,SWFL,Southwestern Willow Flycatcher,"0, 0A",Moucherolle des saules forme du Sud-Ouest,Empidonax traillii extimus,Y,,672
4669,TRFL,Traill's Flycatcher,"0A, 0",Moucherolle de Traill,,,"Empidonax alnorum and E. traillii, prior to split in 1973. | Empidonax alnorum et E. traillii, avant la séparation en 1973.",670
4670,LEFL,Least Flycatcher,"0A, 0",Moucherolle tchébec,Empidonax minimus,,,673
4679,UNEM,Unidentified Empidonax,"0A, 0",Moucherolle Empidonax non identifié,,,Explain in Remarks why the unidentified code was chosen | Expliquez dans les Remarques pourquoi le code non identifié a été choisi.,681
4680,HAFL,Hammond's Flycatcher,"0A, 0",Moucherolle de Hammond,Empidonax hammondii,,,674
4690,DUFL,Dusky Flycatcher,"0A, 0",Moucherolle sombre,Empidonax oberholseri,,,676
4691,GRFL,Gray Flycatcher,"0A, 0",Moucherolle gris,Empidonax wrightii,,,675
4700,BBFL,Buff-breasted Flycatcher,"0A, 0",Moucherolle beige,Empidonax fulvifrons,,,680
4710,VEFL,Vermilion Flycatcher,"0, 0A, 1C, 1",Moucherolle vermillon,Pyrocephalus rubinus,,,685
4711,GREL,Greenish Elaenia,"0A, 0",Élénie verdâtre,Myiopagis viridicata,,,654
4720,NBTY,Northern Beardless-Tyrannulet,"0A, 0",Tyranneau imberbe,Camptostoma imberbe,,,652
4721,CAEL,Caribbean Elaenia,"1, 1C, 0, 1B",Élénie siffleuse,Elaenia martinica,,,655
4722,SBEL,Small-billed Elaenia,"1, 1C, 0, 1B",Élénie à bec court,Elaenia parvirostris,,,655
4730,EUSK,Eurasian Skylark,1B,Alouette des champs,Alauda arvensis,,,767
4740,HOLA,Horned Lark,1B,Alouette hausse-col,Eremophila alpestris,British Columbia,strigata subspecies endangered in BC. | La sous-espèce strigata est menacée en Colombie-Britannique.,768
4741,SHLA,Streaked Horned Lark,1B,,Eremophila alpestris strigata,Y,"E. a. strigata only in OR, WA. BC | E. a. strigata uniquement en Oregon, Washington, Colombie-Britannique.",769
4750,BBMA,Black-billed Magpie,"4, 3A, 3B",Pie d'Amérique,Pica hudsonia,,,752
4760,YBMA,Yellow-billed Magpie,3A,Pie à bec jaune,Pica nuttalli,,,753
4770,BLJA,Blue Jay,"2, 3, 2A",Geai bleu,Cyanocitta cristata,,,744
4780,STJA,Steller's Jay,"3, 2, 3B",Geai de Steller,Cyanocitta stelleri,,,743
4790,FLSJ,Florida Scrub-Jay,"3, 2, 2A",Geai à gorge blanche,Aphelocoma coerulescens,Y,,745
4810,UWSJ,Unspecified Western Scrub-Jay,"3, 2, 2A",Geai buissonnier non spécifié,,,Includes Aphelocoma californica and A. woodhouseii prior to split in AOS 57th Supplement (2016),748
4811,ISSJ,Island Scrub-Jay,"3, 3B",Geai de Santa Cruz,Aphelocoma insularis,,,747
4812,WOSJ,Woodhouse's Scrub-Jay,"3, 2, 2A",,Aphelocoma woodhouseii,,,749
4813,CASJ,California Scrub-Jay,"3, 2, 2A",,Aphelocoma californica,,,746
4820,MEJA,Mexican Jay,"3A, 3B",Geai du Mexique,Aphelocoma wollweberi,,,750
4830,GRJA,Green Jay,"2, 2A, 3",Geai vert,Cyanocorax yncas,,,741
4832,BRJA,Brown Jay,"4A, 4, 3A",Geai enfumé,Cyanocorax morio,,,740
4840,CAJA,Canada Jay,"3, 2, 2A",Mésangeai du Canada,Perisoreus canadensis,,,739
4860,CORA,Common Raven,"7A, 6, 7",Grand Corbeau,Corvus corax,,,763
4870,CHRA,Chihuahuan Raven,"5, 5A",Corbeau à cou blanc,Corvus cryptoleucus,,,762
4871,WNCR,White-necked Crow,"5, 6",Corneille d'Hispaniola,Corvus leucognaphalus,Y,,757
4880,AMCR,American Crow,"5, 5A",Corneille d'Amérique,Corvus brachyrhynchos,,,755
4890,NOCR,Northwestern Crow,"4A, 4",Corneille d'Alaska,Corvus brachyrhynchos caurinus,,,756
4891,TACR,Tamaulipas Crow,4,Corneille du Mexique,Corvus imparatus,,,759
4892,HCRO,Hawaiian Crow,6,Corneille d'Hawaï,Corvus hawaiiensis,Y,,761
4900,FICR,Fish Crow,"4A, 4",Corneille de rivage,Corvus ossifragus,,,760
4910,CLNU,Clark's Nutcracker,"3, 3B, 3A",Cassenoix d'Amérique,Nucifraga columbiana,,,751
4920,PIJA,Pinyon Jay,"3, 2, 2A",Geai des pinèdes,Gymnorhinus cyanocephalus,,,742
